Course Name,About This Course
Arquitectura de la información y datos digitales,"Comprender los datos digitales mejora la estrategia de comunicación | La comunicación estratégica en un contexto digital sigue una perspectiva integral que implica considerar actividades enfocadas a la construcción de contenidos a partir de mecanismos de análisis, organización y estructuración de los flujos de información proporcionados por los públicos objetivos e implementar herramientas digitales que favorezcan la construcción. de sitios web basados ​​en estrategias de interactividad multiplataforma que favorezcan la experiencia del usuario y la comunicación entre el sitio y las audiencias. | En este sentido, en el curso de Arquitectura de la Información y Datos Digitales aprenderás a diseñar planes de contenidos sociodigitales a partir de considerar la integración del posicionamiento SEO que te permitirá escribir estratégicamente con fines de posicionamiento orgánico además de considerar interfaces lógicas que brinden a las audiencias navegación intuitiva, así como una experiencia de reconocimiento de información general simple y funcional. | La creatividad mejora la usabilidad y la experiencia del usuario | Asimismo, conocerá las metodologías creativas utilizadas para la implementación de conceptos digitales que incluyen la construcción de diagramas de usabilidad, sistemas de etiquetado, redacción basada en objetivos y tipos de búsqueda, posicionamiento pago basado en SEM así como la estructuración de la arquitectura de la información y interfaz a través de la elección estratégica de contenidos multimedia (texto, imagen, vídeos y audio). Impactando positivamente en la estrategia de comunicación eligiendo un sistema de gestión de contenidos, una infraestructura propia o un modelo híbrido. | Una base de datos promueve la comprensión de la información y los datos digitales | Al finalizar el curso podrás organizar planes de comunicación y marketing digital, estructurando proyectos integrales que contemplen transversalmente ventas, posicionamiento y construcción de una base de datos relevante para la sistematización de objetivos de toma de decisiones futuras. Esto impactará positivamente la usabilidad del sitio y la construcción de una constelación digital diseñada para sistemas de información interactivos y no interactivos, desde las necesidades del usuario y los objetivos del sitio hasta el diseño visual, así como los requisitos de la información misma."
"Networks, Crowds and Markets","The course invites you to examine the interconnectedness of modern life through an exploration of fundamental questions about how our social, economic, and technological worlds are connected. Students will explore game theory, the structure of the Internet, social contagion, the spread of social power and popularity, and information cascades. | This MOOC is based on an interdisciplinary Cornell University course entitled Networks, taught by professors David Easley, Jon Kleinberg, and Éva Tardos. That course was also the basis for the book, Networks, Crowds, and Markets: Reasoning About a Highly Connected World. This course is designed at the introductory undergraduate level without formal prerequisites."
Fundamentals of Java EE Development,"This course will provide you with an introduction to Java EE using Red Hat JBoss Developer Studio and Red Hat JBoss Enterprise Application Platform. Through hands-on labs, you will transform a simple Java SE command line into an enterprise application that uses various Java EE specifications, including Enterprise Java Beans, Java Persistence API, and JAX-RS for REST services. | This course will benefit developers that already have a strong foundation in Java SE and want to learn the basic skills and concepts that are necessary to be an enterprise Java Developer."
Trial Lessons: Philosophy and Computer Science,"Do you ever wish you could just try out a study programme for a day? | No strings attached, no papers to write, no lectures to drive to – just become a master student for a few hours and see if you enjoy it? | Looks like you found the right course! This Try-It lecture lets you peek into the unique field ofPhilosophy and Computer Science, a master’s degree offered by theUniversity of Bayreuthin Germany. | The compact course is structured into seven parts, each one containing a 10 - 20 minute long lecture video. Throughout these chapters, the faculty behind Philosophy & Computer Science share their invaluable insights with you, and offer a glimpse of the innovative research areas that you will be dealing with should you study at Bayreuth. | You can complete the course at your own pace. There are no deadlines or exams involved - you can simply take a look at the structure and coontents of the study programme and see for yourself if Philosophy & Computer Science is a field that you would like to further explore. | Philosophy & Computer Science is a unique field of study that deals with the moral and philosophical principles behind modern technology, computational systems and applications. In order to critically deal with the rapid technological changes in society, we are in need of critical and creative minds who are able to see modern issues within a broader context. | Want to find out more about the study programme? Take a look at thePhilosophy & Computer Science websiteto find out more about the programme, its structure, topics and how to apply. You can also take a look at the programme'strailer on YouTube."
Introducción a la computación en la nube (Cloud computing),"Tenga en cuenta: Los alumnos que completen con éxito este curso de IBM pueden obtener una insignia de habilidad (badge), una credencial detallada, verificable y digital que describe los conocimientos y habilidades que ha adquirido en este curso. ¡Inscríbase para obtener más información, complete el curso y reclame su insignia! | Este curso presenta los conceptos básicos de la computación en la nube (cloud computing). Obtendrá el conocimiento fundamental necesario para comprender la computación en la nube desde las perspectivas empresarial y profesional. | Aprenderá sobre la definición y las características esenciales de la computación en la nube, su historia, las tendencias emergentes y casos de negocio del cloud computing. También aprenderá sobre los diversos modelos de servicios en la nube (IaaS, PaaS, SaaS), los modelos de implementación (nube pública, nube privada, nube híbrida) y los componentes clave de una arquitectura de nube (virtualización, máquinas virtuales, almacenamiento, redes, contenedores). | El curso también lo familiarizará con las tendencias emergentes asociadas con la nube, incluida la multinube híbrida, los microservicios, la computación sin servidor (serverless), la nube nativa, DevOps y la modernización de aplicaciones. Aprenderá sobre los conceptos básicos de seguridad en la nube y se le presentarán algunos estudios de casos y oportunidades de carrera relacionadas con la computación en la nube. | Este curso de introducción a la computación en la nube de IBM/UPV es adecuado para cualquier persona que sea nueva en la nube, ya sea alguien que solo quiere comprender la jerga de la nube o alguien que tenga la intención de comenzar una carrera relacionada con la computación en la nube."
Fundamentals of Deep Reinforcement Learning,"This course starts from the very beginnings of Reinforcement Learning and works its way up to a complete understanding of Q-learning, one of the core reinforcement learning algorithms. | In part II of this course, you'll use neural networks to implement Q-learning to produce powerful and effective learning agents (neural nets are the ""Deep"" in ""Deep Reinforcement Learning"")."
Demystifying Biomedical Big Data: A User’s Guide,"With the continuous generation of massive amounts of biomedical data on a daily basis, whether from research laboratories or clinical labs, we need to improve our ability to understand and analyze the data in order to take full advantage of its power in scientific discoveries and patient care. For non-bioinformaticians, “handling” big data remains a daunting task. This course was designed to facilitate the understanding, analysis, and interpretation of biomedical big data to those in the biomedical field with limited or no significant experience in bioinformatics. The goal of this course is to “demystify” the process of analyzing biomedical big data through a series of lectures and online hands-on training sessions and demos. You will learn how to use publicly available online resources and tools for genomic, transcriptomic, and proteomic data analysis, as well as other analytic tools and online resources. This course is funded by a research grant from the US National Institutes of Health (NIH)-Big Data to Knowledge (BD2K) Initiative."
4G Network Essentials,"4G is the cutting-edge network technology that links millions of smartphones to the internet. But how does it actually work? | Ideal for network engineers, sales engineers, application developers, and many other telecoms pros, this course will help you to understand the technology behind the apps and devices we use every day. | You’ll get a solid overview of LTE/EPC (Long Term Evolution / Evolved Packet Core) 4G networks, how they work, how the network architecture is designed, and which protocols are used. | First, you’ll gain exposure to the global architecture of the network, how the radio interface works, and how security is guaranteed. | Then you’ll dive into the operational side. What is a bearer? How is it quickly configured and released? How does 4G handle millions of terminals that are on the move all the time? | Over the next few years, the advent of 5G will see over 20 billion mobile terminals go online. | By mastering the key concepts of 4G, you can be ready for the next chapter in mobile networking—and the jobs of the future. | Whether you’re a graduate student or already in a professional role, targeting a career move or just building your skills, you’ll gain plenty of detailed, practical knowledge that you can put into practice immediately. | This coursehas received financial support from the Patrick & Lina Drahi Foundation."
Building a Cybersecurity Toolkit,"Technologies are always being defeated. | If you own an information asset that’s valuable enough to the right adversary, it’s only a matter of time before there’s a breach. Today’s technologies attempt to keep adversaries out, but the sad fact is they will inevitably be defeated. This means a successful cybersecurity professional needs to have an expanded arsenal in their toolkit that extends far beyond technical proficiency. | Cybersecurity professionals need to be agile, multifunctional, flexible, and dynamic given how quickly things can change. They need to be able to adapt to change and problem solve quickly, have diverse knowledge to perform many activities, respond to new threats and shift priorities to meet the challenge of the day. | The purpose of this course is to give learners insight into these type of characteristics and skills needed for cybersecurity jobs and to provide a realistic outlook on what they really need to add to their “toolkits” – a set of skills that is constantly evolving, not all technical, but fundamentally rooted in problem-solving. | Students will learn from thought leaders from both the academic and practitioner communities."
AP Computer Science A: Java Programming Classes and Objects,"In this computer science course, you will learn the basics of programming in the Java language, and cover topics relevant to the AP Computer Science A course and exam. | This course will cover: | This course is for anyone interested in taking a first-level computer-programming course, particularly those who attend a school that does not provide a similar class. | No previous programming knowledge is needed, but it is recommended that learners be comfortable with the topics addressed inAP Computer Science A: Java ProgrammingandAP Computer Science A: Java Programming Data Structures and Loops. | We are looking forward to helping you explore this exciting new world!"
Introducción al desarrollo de videojuegos con Unity,"Nunca antes el mercado de los videojuegos se ha encontrado en un mejor momento. En la actualidad existen multitud de plataformas disponibles y la irrupción de los dispositivos móviles ha revolucionado el sector. | La existencia de múltiples plataformas implica grandes retos para los desarrolladores en la toma de decisiones, tanto en la elección de las plataformas como en el dimensionamiento de los equipos de trabajo. | Una solución a estos problemas es utilizar un motor de juegos, y sin lugar a dudas el motor más popular y usado del momento es Unity. | Unity es el motor más popular por razones como sus poderosas herramientas, su capacidad de generar juegos en más de 20 plataformas distintas, su excelente curva de aprendizaje y los centenares de complementos disponibles para él desarrollados por terceros. | Unidades"
Mobile Payment Security,"This course provides details on how card payments are processed, including differences between older ‘magnetic stripe’ transactions and newer EMV (or ‘chip’) based transactions. Using this as a base, the course outlines specifically how payment solutions are being implemented around the world on smartphones and mobile devices, the differences between mobile acceptance and mobile issuance, and how other types of payment methods and payment processes may be implemented on these devices. This includes discussions of tokenization and token service providers, their relationship to financial institutions and merchants, as well as card transactions using card readers, contactless payments, and the rise of mobile apps, mobile wallets, and the ledger systems that are often used to manage these processes. Topics of mobile security, security standards, cryptography, protection of sensitive data, potential data breaches, malware, and key management are touched upon at a high level, but primary focus is provided to the mobile payments eco-system and implementations."
Bases de datos,"El curso inicia con una introducción que presenta definiciones importantes en el área de las bases de datos, algunos datos históricos relevantes, herramientas para diseñar, crear, administrar bases de datos y el modelo relacional que permite crear modelos físicos a partir de estas. | Posteriormente, se presentan conceptos de bases de datos relacionales relacionados con el lenguaje SQL como creación, modificación, eliminación de tablas, inserción actualización, eliminación de datos, consultas, subconsultas anidadas, vistas, funciones, procedimientos almacenados, disparadores, consultas recursivas y consultas OLAP. | Finalmente, se presentan conceptos relacionados con el diseño de bases de datos mediante el modelo entidad relación y procesos de normalización exponiendo desde la primera forma normal hasta la cuarta forma normal."
C++ Programming | C++程序设计,No description available
Introduction to Quantum Science & Technology,"Emerging quantum systems are disruptive technologies redefining computing and communication. Teaching quantum physics to engineers and educating scientists on engineering solutions are critical to address fundamental and engineering challenges of the quantum technologies. | This course provides an introduction to various quantum technologies by overviewing laws of quantum physics, quantum systems and their engineering challenges. In particular, the course reviews various implementation of quantum communication and computation and basic science and engineering behind the technology. | Students will have an opportunity to complete tasks usingMicrosoft Azure Quantumin the cloud."
Building Modern Java Applications on AWS,"In modern cloud native application development, it’s often times the goal to build out serverlessarchitectures that are scalable, are highly available, and are fully managed. This mean, less operational overhead for you and your business, and more focusing on the applications and business specific projects that differentiate you in your marketplace. In this course, we will be covering how to build a modern, greenfield serverless backend on AWS. | Building brand new applications on AWS is a different task than lifting and shifting existing applications into AWS. When you have an existing application that you need to move to AWS, you might first look to using Amazon EC2 as your virtual machines, or maybe you might look into using docker containers and container hosting services like Amazon Elastic Container Service or Amazon Elastic Kubernetes Service. Those are all great application hosting options, but in most cases, they still require you to have some kind of pulse on the underlying infrastructure hosting your application. | In this class, we will explore how to build an API driven application using Amazon API Gateway for serverless API hosting, AWS Lambda for serverless compute, and Amazon Cognito for serverless authentication. We will follow an API driven development process and first mock up what the API will look like. We will cover all the ins and outs of the service Amazon API Gateway, and as you’ll learn- it does a lot more than just hosting an API. | Then we will add authentication to the API using Amazon Cognito. You’ll learn about how the authorization flow works with cognito, and how to build it into your APIs. From there, we will add a Lambda backend that will be triggered by API Gateway. The lambda functions will be using the AWS SDKs to perform various data processing tasks. You’ll learn about the different configurations that exist for Lambda, and we will show you how to create and manage lambda functions. Some of the features of our API will require multiple lambda functions to execute in a specific order, like a workflow, and we will use AWS Step Functions to create a serverless workflow. Finally, we will talk about how to optimize your APIs at every layer using AWS features."
Android: Introducción a la Programación,"Android es la plataforma libre desarrollada por Google, ampliamente utilizada en multitud de dispositivos como móviles, tabletas, TV, wearables e Internet de las cosas. Su expansión ha sido espectacular, siendo el S.O. más utilizado en la actualidad. Tras realizar este curso conocerás los fundamentos del desarrollo de aplicaciones en Android y podrás realizar sencillas aplicaciones, que incluyan los aspectos más importantes y novedosos de esta plataforma. | A lo largo del curso se desarrolla una aplicación de ejemplo, ""Mis Lugares Favoritos"", que nos permitirá almacenar fotografía, posición geográfica, valoración y otros datos de los lugares que más nos gustan. El curso se introducen los siguientes aspectos: repaso de Java, visión general de Android, entorno de desarrollo (Android Studio), Interfaz de usuario (vistas, Layouts, recursos, barra de acciones, preferencias, RecyclerView, Fragments...), actividades, intenciones, seguridad, posicionamiento, mapas y bases de datos."
Introduction to FinOps,"Organizations using Cloud and DevOps face challenges to the traditional way IT has been procured, managed and optimized. Traditional siloes of IT, Finance, and Business are breaking down, and traditional procurement and financial management processes are significantly changed by the cloud. Cloud spend is more dynamic, less predictable, and understanding the vast amount of data on the cloud bill can be daunting. Companies want product teams to be more responsive to customer demand, for DevOps teams to build faster and better, and for costs to be managed tightly. FinOps provides a framework to align these groups within an organization to achieve these results. | The FinOps Foundation was formed in 2019 with the goal of helping practitioners learn from one another and develop new practices, concepts and tools needed to both align the work of internal Cloud stakeholders and manage the dynamic services offered by the hyper-scale Cloud providers. | This course is addressed to a wide audience: | IT, DevOps, Engineers or Architects using Cloud to deliver value who want to understand how FinOps can help them integrate cost management as a metric in their environments | Finance, Procurement, and Accounting professionals wanting to understand how FinOps can help them negotiate, purchase and manage cash flow for Cloud more effectively | Business unit or Product Managers delivering product value with Cloud who want to understand how FinOps can help them innovate more, manage Cloud cost proactively and deliver value to customers quicker | Executives and Managers overseeing environments that depend upon Cloud who want to understand how FinOps can help them build a culture of accountability that leverages Cloud for its strengths while aligning everyone to manage its cost and use. | This introductory course describes the basics of FinOps and how it can positively impact an organization. FinOps allows organizations to build a culture of accountability around Cloud use that lets companies make good, timely, data-backed decisions in the Cloud, not just to save money, but to make money."
Fundamentos y Herramientas de DevOps,"Las empresas de software lidian frecuentemente con diversas problemáticas entre los equipos de desarrollo de software y operación de sistemas. Mientras que los primeros están interesados en ofrecer actualizaciones frecuentes para agregar valor a la experiencia del cliente y mejoras, los segundos se interesan más por cuidar el valor del negocio entregado mediante plataformas o softwares y su manera de lograrlo es mantener un ambiente estable para los usuarios. | El mercado actual demanda que las organizaciones y empresas de la nueva era digital sean más rápidas a la hora de entregar desarrollos de software, mejorar sus aplicaciones y plataformas web. Además, las nuevas tecnologías, como la nube y la virtualización, han permitido el desarrollo de nuevas herramientas que permitan acelerar los procesos y lograr una relación más estrecha entre estos dos equipos de trabajo. | Las necesidades de velocidad y seguridad en plataformas web y aplicaciones originó la cultura DevOps, la cual brinda herramientas a los equipos de trabajo de software para asegurar la estabilidad en plataformas y al mismo tiempo entregar actualizaciones de versiones de una manera rápida. | En este MOOC aprenderás los fundamentos de la cultura DevOps, trabajarás con scripts y revisión de logs en Linux. Además, abordaremos los pilares del DevOps, como lo son el Continous Integration/Continous Deployment, el cambio de paradigma en la administración de sistemas mediante la infraestructura como código y la creación de contenedores para asegurar la integración y entrega continua de softwares. | Los temas de este MOOC son de especial importancia para desarrolladores de software ya que les permite gestionar efectivamente el desarrollo de software de manera individual o en equipo. | Git y Github son las herramientas de control de versiones de software de mayor uso en la actualidad entre los equipos de desarrollo de software de las empresas. No son las únicas en su tipo, pero son las más ampliamente usadas en la industria. | Al finalizar este MOOC tendrás las habilidades necesarias para poder gestionar el software de un sistema Linux, específicamente nos enfocaremos en la distribución de Ubuntu, pero los conceptos son generalizables a otras distros. De igual manera aprenderás a usar los diferentes comandos que te ayudarán a ser eficaz durante la operación de un proyecto de Devops. Adicionalmente, serás capaz de gestionar las versiones de software ya sea de manera individual o como parte de un equipo de desarrollo de software."
Introduction to Web Authentication,"This course introduces developers to the W3C’s Web Authentication (WebAuthn) API, which provides the tools to replace usernames and passwords in favor of hardware-backed, cryptographically secure authentication. | Learners will explore basic concepts such as registration and authentication, and how WebAuthn thwarts modern attacks such as phishing to ensure security and privacy. | After becoming familiar with WebAuthn buiding blocks, such as authenticators, clients, and replying parties, learners will move on to standing up a WebAuthn server and learning the different flows supported by WebAuthn. | Finally, students will review guidance and recommendations for operating a WebAuthn environment, capping off the course with an interactive project giving developers a solid foundation to secure assets and contemplate a passwordless future."
Introduction to Quantum Circuits,"Quantum computing is expected to impact all industries, ranging from cybersecurity to medicine. It provides a promise to solve many problems faster and more efficiently than classical computers. This course will introduce you to the core concepts related to quantum computing and give you an opportunity to explore IBM Q Experience Visual Composer. This graphical quantum programming tool lets you build quantum circuits and run them on real quantum hardware or simulators. | Geared towards anyone new to the field of quantum computing, this course is intended for a large audience, ranging from high school students to working professionals who do not have prior knowledge about quantum computing or those wishing to strengthen their foundational knowledge. | This course discusses the basics of quantum computing. You will gain an understanding of the technology landscape—the present state and the future potential of quantum computing. You will also learn how to create quantum circuits for various quantum algorithms and be able to interact with quantum hardware using IBM Q Visual Composer."
Building Microservice Platforms with TARS,"This course is an introduction to microservices and the TARS framework for beginners. TARS is a new generation distributed microservice applications framework designed to support multiple programming languages, including C++, Golang, Java, Node.js, PHP, and Python, which allows developers and enterprises to quickly build stable and reliable applications that run at scale. | This course will show you why more and more developers and companies have chosen TARS to build their services. It is designed for engineers working in microservices, as well enterprise managers interested in exploring internal technical architectures, especially working for digital transmission in the traditional industry. In addition, anyone interested in software architecture will benefit from this course. | You will learn how to efficiently develop microservices programs using different programming languages and quickly deploy the corresponding services into applications. Upon completion, you will wield a powerful skill for understanding microservices architecture and should be able to quickly build stable and reliable applications based on TARS."
理论计算机科学基础 | Introduction to Theoretical Computer Science,No description available
DevOps on AWS: Release and Deploy,"AWS provides a set of flexible services designed to enable companies to more rapidly and reliably build and deliver products using AWS and DevOps practices. These services simplify provisioning and managing infrastructure, deploying application code, automating software release processes, and monitoring your application and infrastructure performance. | This course in the DevOps on AWS series explains how to improve the deployment process with DevOps methodology, and also some tools that might make deployments easier, such as Infrastructure as Code, or IaC, and AWS CodeDeploy."
Implementation of Data Structures,"In this Computer Science course, you will learn about implementation of all major abstract data structures using object-oriented programming paradigm of C++. | This course builds on the basic concepts developed in ‘Foundations of Data Structures’ course. | Topics covered: | This course is part of theFundamentals of Computer Science XSeries Program:"
Digital Dividends: Strengthening the Analog Foundation of the Digital Revolution,"Using a variety of learning tools and methodologies, this course will help you understand the role that the internet plays in economic development, and in the lives of people and businesses in general. | Traditional development challenges are preventing the digital revolution from fulfilling its transformative potential: the opportunity to bring broader development gains in the form of faster growth, more jobs and better services to economies. | In this course, you’ll explore answers to the following key questions: What are the challenges that prevent digital dividends from spreading more rapidly? What are the most important returns to digital investments? What should be done to fully benefit from the digital revolution? | The course will benefit a broad variety of audiences, ranging from student to policymaker, and from entrepreneur to civic actor."
Cybersecurity and Privacy in the IoT,"This course will soon be retired. The last day to enroll is 02/25/2025 at 15:59 UTC. | As the Internet of Things (IoT) continues to grow so will the number of privacy and security concerns and issues. As a professional working in the field, it is essential to understand the potential security risks and how to best mitigate them. | In this course, you will learn about security and privacy issues in IoT environments. We’ll explore the organizational risks posed by IoT networks, and the principles of IoT device vulnerabilities. We’ll also look at software and hardware IoT Applications for industry. | With billions of devices tracking our every move, privacy is a critical issue. We will explore and discuss the social and commercial implications the IoT brings to society."
Building Modern Python Applications on AWS,"In modern cloud native application development, it’s often times the goal to build out serverless architectures that are scalable, are highly available, and are fully managed. This mean, less operational overhead for you and your business, and more focusing on the applications and business specific projects that differentiate you in your marketplace. In this course, we will be covering how to build a modern, greenfield serverless backend on AWS. | Building brand new applications on AWS is a different task than lifting and shifting existing applications into AWS. When you have an existing application that you need to move to AWS, you might first look to using Amazon EC2 as your virtual machines, or maybe you might look into using docker containers and container hosting services like Amazon Elastic Container Service or Amazon Elastic Kubernetes Service. Those are all great application hosting options, but in most cases, they still require you to have some kind of pulse on the underlying infrastructure hosting your application. | In this class, we will explore how to build an API driven application using Amazon API Gateway for serverless API hosting, AWS Lambda for serverless compute, and Amazon Cognito for serverless authentication. We will follow an API driven development process and first mock up what the API will look like. We will cover all the ins and outs of the service Amazon API Gateway, and as you’ll learn- it does a lot more than just hosting an API. | Then we will add authentication to the API using Amazon Cognito. You’ll learn about how the authorization flow works with cognito, and how to build it into your APIs. From there, we will add a Lambda backend that will be triggered by API Gateway. The lambda functions will be using the AWS SDKs to perform various data processing tasks. You’ll learn about the different configurations that exist for Lambda, and we will show you how to create and manage lambda functions. Some of the features of our API will require multiple lambda functions to execute in a specific order, like a workflow, and we will use AWS Step Functions to create a serverless workflow. Finally, we will talk about how to optimize your APIs at every layer using AWS features."
Mobile Application Experiences Part 2: Mobile App Design,"Want to create the next big app, grounded in the needs of real users? This course will teach you Human Computer Interaction (HCI) methods to better understand current behavior in a domain, and then design, develop, and deploy your own application. | This module will take you from an application idea through the creation of a paper prototype and a usability evaluation to validate initial usability of your concept. | Completion of Mobile Application Experiences Part 1 is not required. You can begin this module with an idea you have had on your own. | This course is part of a five-part Mobile Application Experiences series:"
Try It: Introduction to Trello,"The demand for Project Management skills has risen in recent years as employees are asked to take more responsibilities. | Regardless of where you are in your career - interested in a project management career or looking to automate some of your current work - Trello is a great tool to start with. | This Introduction to Trello course starts with the basics on how to set up an account, and teaches how to use it for project planning, establishing a project data sheet board, developing lists to categorize information, and more. | After taking this course, you will: | No previous Trello experience is required, this is your one-stop introduction to the power of Trello."
Internationalization: Creating Digital Content for the World,"Want to learn how to create a digital product that is truly ready for the world? One that can be released in many markets and for different languages without any alterations to its code? This is the course for you! It shows you everything a developer or PM needs to know to keep in mind when working on software or websites that will be consumed across different markets. | This course is an introduction to internationalization, the process of developing the core of a digital product whose features and design are not solely based on a single language or locale. You will learn how to cater for different writing systems, regional formats and even directionality of scripts like the Arabic one. You will also learn about design requirements around localizability that need to be met before you can even start with translating your product into other languages. And you will get a glimpse at the challenges of creating products that don’t offend foreign markets because they are culturally or politically insensitive. | This course will show what needs to be done to ensure the best user experience in international markets even before localizing."
Health Informatics: The Cutting Edge,"Adopting digital health records and sharing the data they contain is a critical step forward. However, since successful management of chronic disease must involve patients, using informatics tools and systems to engage them is now a major area of focus for academic and industry research and development. Much of our focus so far has been on the care of patients one at a time. Another major area of research and development involves the aggregation of data from large groups of patients to understand population (or public) health issues such as the factors external to traditional medicine that cause disease and that impact on our ability to treat it. Finally, digital health data is increasingly being used for research on methods to deploy predictive analytics to improve the diagnosis and treatment of disease as well as to run hospitals and health systems more cost effectively."
Introduction to Watson AI,"Please Note: Learners who successfully complete this IBM course can earn a skill badge — a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. Enroll to learn more, complete the course and claim your badge! | In this course, you will learn how to quickly and easily get started with Artificial Intelligence using IBM Watson. You will understand how Watson works, become familiar with its use cases and real-life client examples, and be introduced to several Watson AI services from IBM that enable anyone to easily apply AI and build smart apps. | You will also work with several Watson services including Watson studio, Watson assistant and Watson discovery to demonstrate AI in action. | This course does not require any programming or computer science expertise and is designed for anyone whether you have a technical background or not."
Coding for Your Classroom 4 - 10,"Could we create an opponent that will always beat us in rock paper scissors? How could we educate youth about the climate crisis through a video game? Can a story be interactive? | These are some of the questions that will guide your learning experience in Coding For Your Classroom 4-9! | This course is designed for educators to learn about ways to teach computational thinking logic to their students through fun, hands-on activities. The goal is for teachers to feel more confident with coding concepts and activities and to be able to create their own. This course will explore what computational thinking is and why it is important to teach it and introduce it to students at a young age, so we have more diversity in our technology fields in the future. Educators will leave this course knowing that they will be able to incorporate coding and develop students’ digital literacy through minor changes in their classrooms. Additionally, we aim to break barriers that teachers may face in their classrooms by providing participants with resources that develop these skills without the use of technology. At the end of the course, you will be provided with enough resources to begin to bring coding into your classroom start to feel confident creating your own! | Teachers will explore a variety of web-based platforms throughout the course such as: Microsoft MakeCode Micro:bit, Scratch, Twinery, and more!"
RISC-V Toolchain and Compiler Optimization Techniques,"As RISC-V has made it easier to bring up processor chipsets, the need for compiler engineers in the RISC-V ecosystem has increased. There is an implicit need for toolchain experts who can help RISC-V vendors gain an edge over competitors with their expertise in compilation technologies. Learning about internals of the toolchain, building and debugging RISC-V applications will allow you to work with thousands of companies that are building the latest hardware technologies. | This course is designed for engineers working with RISC-V vendors who are designing their own architectures, and those using RISC-V development boards to build applications. It is also useful for RISC-V application developers looking to improve performance or reduce the code size of their applications, toolchain developers, compiler engineers/performance engineers, and computer science students aspiring to major in systems software. | This course begins with an introduction to the compiler toolchain and concepts of cross-compilation. You will learn how to use popular compiler toolchains (both LLVM and GCC) to build RISC-V applications. You will also learn how to debug toolchain issues and what resources to consult when you need help. This course will help you optimize applications for code size or performance and gain an understanding of the demands of applications with instrumentation techniques. | The course prepares you to apply to in-demand job opportunities like toolchain engineers or systems performance engineers as most large organizations have a difficult time finding engineers who are good with performance optimizations. This is a beginner-level course to get you started with optimizing data center applications and mobile applications for performance. It enables you to work in startups building RISC-V-based devices and IOT systems that are resource-constrained. The course will also help undergraduate students get started with compiler toolchains and equip them with skills to optimize applications using compiler technologies."
Using GPUs to Scale and Speed-up Deep Learning,"Please Note: Learners who successfully complete this IBM course can earn a skill badge — a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. Enroll to learn more, complete the course and claim your badge! | Training acomplex deep learning model with a very large data set can take hours, days and occasionally weeks to train. So, what is the solution? Accelerated hardware. | You can use accelerated hardware such as Google’s Tensor Processing Unit (TPU) or Nvidia GPU to accelerate your convolutional neural network computations time on the Cloud. These chips are specifically designed to support the training of neural networks, as well as the use of trained networks (inference). Accelerated hardware has recently been proven to significantly reduce training time. | But the problem is that your data might be sensitiveand you may not feel comfortable uploading it on a public cloud, preferring to analyze it on-premise. In this case, you need to use an in-house system with GPU support. One solution is to use IBM’s Power Systems with Nvidia GPU and Power AI. The Power AI platform supports popular machine learning libraries and dependencies including Tensorflow, Caffe, Torch, and Theano. | In this course, you'll understand what GPU-based accelerated hardware is and how it can benefit your deep learning scaling needs. You'll also deploy deep learning networks on GPU accelerated hardware for several problems, including the classification of images and videos."
Oracle Cloud Infrastructure Foundations,"Kick start your Cloud journey with strong foundation in architecture, core concepts and features of Oracle Cloud Infrastructure (OCI). | This course focuses on the key features of Cloud. It gives an insight into the basic concepts for optimizing the use of these services. | This course covers the essentials to keep the data on Oracle Cloud secure. It explains about the services needed to create a hybrid cloud environment. Additionally, the course also covers the pricing and cost management for using Oracle Cloud."
AP Computer Science A: Java Programming Polymorphism and Advanced Data Structures,"This computer science course covers advanced OOP strategies, including polymorphism, abstract classes, super keyword, exceptions, generics, sorting and searching algorithms. | This course is for anyone interested in taking a first-level computer-programming course, particularly those who attend a school that does not provide a similar class. | We are looking forward to helping you explore this exciting new world!"
DevOps on AWS: Operate and Monitor,"The third and the final course in the DevOps series will teach how to use AWS Services to control the architecture in order to reach a better operational state. | Monitoring and Operation are key aspects for both the release pipeline and production environments, because they provide instruments that help discover what's happening, as well as do modifications and enhancements on infrastructure that is currently running. This course teaches how to use Amazon CloudWatch for monitoring, as well as Amazon EventBridge and AWS Config for continuous compliance. It also covers Amazon CloudTrail and a little bit of Machine Learning for Monitoring operations!"
Building Modern .NET Applications on AWS,"Learn how to build modern .NET applications on the AWS Cloud using AWS Lambda, Amazon API Gateway, and Amazon Cognito with our new digital course,Building Modern .NET Applications on AWS.This course is designed for intermediate-level developers who are interested in learning how to build agile, scalable, and fully-available cloud native applications on the AWS Cloud. | In this course, AWS expert instructors will demonstrate you how to build a serverless application using AWS Lambda for compute, the Amazon API Gateway for serverless API hosting, and Amazon Cognito for serverless authentication. You’ll learn about the different configurations that exist for AWS Lambda and how to create and manage Lambda functions. The course includes videos, guided walkthroughs, knowledge checks, and hands-on labs using the AWS Free Tier. | Learn from AWS experts. Advance your skills and knowledge. Build your future in the AWS Cloud. Enroll today!"
